X	Y	nZxy
-1230	3150	723.158653438162
-1230	3210	725.321631086095
-1230	3270	727.484608734029
-1230	330	21.4987039852883
-1230	3330	729.647586381962
-1230	3390	731.810564029896
-1230	3450	733.973541677829
-1230	3510	736.136519325762
-1230	3570	738.299496973696
-1230	3630	740.46247462163
-1230	3690	682.625452269563
-1230	3750	684.788429917497
-1230	3810	686.95140756543
-1230	3870	629.114385213363
-1230	390	23.6616816332216
-1230	3930	571.277362861297
-1230	3990	573.440340509231
-1230	4050	515.603318157164
-1230	4110	457.766295805097
-1230	4170	399.929273453031
-1230	4230	342.092251100964
-1230	4290	284.255228748898
-1230	4350	286.418206396831
-1230	4410	228.581184044765
-1230	4470	230.744161692698
-1230	450	25.8246592811552
-1230	4530	172.907139340632
-1230	4590	175.070116988565
-1230	4650	117.233094636499
-1230	4710	119.396072284432
-1230	4770	121.559049932366
-1230	4830	63.722027580299
-1230	4890	65.8850052282326
-1230	4950	8.04798287616609
-1230	5010	10.2109605240996
-1230	5070	-47.6260618279671
-1230	510	27.9876369290887
-1230	5130	-105.463084180034
-1230	5190	-163.3001065321
-1230	5250	-221.137128884166
-1230	5310	-278.974151236233
-1230	5370	-336.8111735883
-1230	5430	-334.648195940366
-1230	5490	-392.485218292433
-1230	5550	-390.322240644499
-1230	5610	-448.159262996566
-1230	5670	-445.996285348632
-1230	569.999	90.1505785273948
-1230	570	90.1506145770222
-1230	5730	-443.833307700699
-1230	5790	-441.670330052765
-1230	5850	-499.507352404832
-1230	5910	-497.344374756898
-1230	5970	-435.182397108965
-1230	6030	-493.018419461031
-1230	6090	-490.855441813098
-1230	6150	-488.692464165164
-1230	6210	-426.530486517231
-1230	630	92.3135922249558
-1230	690	94.4765698728891
-1230	750	96.6395475208226
-1230	809.999	158.802489119129
-1230	810	158.802525168756
-1230	870	160.96550281669
-1230	90	72.8467933935544
-1230	90.0002	72.8468006034798
-1230	930	163.128480464623
-1230	990	165.291458112556
-1290	-1050	208.404012686808
-1290	-1110	206.241035038874
-1290	-1170	204.078057390941
-1290	-1230	261.915079743007
-1290	-1290	259.752102095074
-1290	-1350	317.58912444714
-1290	-1410	315.426146799207
